class,n_grids,mean_adjusted_ch4,ci_low,ci_high
Both high,2,0.8071842724364893,-2.0057076582482463,3.620076203121225
EDGAR only,36,0.09233019060869033,-0.5272041959215366,0.6979073713356218
Pumpjack only,21,1.2943280331388742,-1.0579875396394667,3.4968395436075057
Neither,315,-1.2490755588251472,-1.9372654894654042,-0.5902026259624195
