domain,index,high_percentile,control,adjustment,n_high_grids,n_control_grids,mean_match_distance_km,n_days,mean_ppb,median_ppb,sd_days_ppb,ci_day_low,ci_day_high,ci_month_low,ci_month_high,p_ttest,display_order
extended,original_joint_index,90,original_daily_background,original_pixel_weighted,,,,1274,8.352501478619795,5.971302639602689,17.382566085166157,7.41999761062797,9.346116707899268,6.365125203406043,9.572755635383755,1.7617449544196193e-59,0
core,index_ch4,90,nearest_3,raw,38.0,53.0,16.33698636267827,707,2.305557792735245,1.3862152099609375,10.187222021641338,1.568999476528948,3.113580205716529,1.1402061712983986,3.265296258798651,2.8414795122836667e-09,1
core,index_ch4,90,nearest_3,daily_linear_detrend,38.0,53.0,16.33698636267827,664,2.0994920128488883,1.3567574609258448,9.0511905372389,1.41299535274734,2.8175317678944745,1.1204265662873645,3.037804225335977,3.7092841935988363e-09,2
core,index_ch4,90,nearest_3,daily_quadratic_detrend,38.0,53.0,16.33698636267827,613,2.0972717267061904,1.3638999432739638,8.586219514320138,1.4629137570975352,2.771414626786897,1.1108018460578828,2.8674900817969493,2.55912272746213e-09,3
