gid,lon,lat,overlap_class,E_high,P_high,adjusted_ch4,index_ch4,density_land_area,coast_distance_km,land_fraction
36.85_117.85,117.85,36.85,Neither,False,False,0.9551523953623654,0.3993114599078008,0.0,109.7861880007022,1.0
36.85_117.95,117.95,36.85,Neither,False,False,-2.8445010539610114,0.8051913556151727,0.0,102.00127215139254,1.0
36.85_118.05,118.05,36.85,Neither,False,False,-1.9926953441481672,0.6194280349461116,0.0,94.38348132425416,1.0
36.85_118.15,118.15,36.85,Neither,False,False,-0.4592245319604061,0.4894571143425448,0.0,86.90673413129565,1.0
36.85_118.25,118.25,36.85,Neither,False,False,0.7560413217031479,0.807197310356776,0.0,79.7037439377482,1.0
36.85_118.35,118.35,36.85,Neither,False,False,-0.361620835393614,0.7252248899595286,0.0,72.85575219476365,1.0
36.85_118.45,118.45,36.85,Neither,False,False,-1.632531333019754,0.5368133859753084,0.0,66.4725652271652,1.0
36.85_118.55,118.55,36.85,Neither,False,False,-2.2898750611393344,0.6908363726778709,0.0,60.700994207170176,1.0
36.85_118.65,118.65,36.85,Neither,False,False,0.381443462868137,-0.7006445727117724,0.0,55.352893619664535,1.0
36.85_118.75,118.75,36.85,Neither,False,False,-0.4831288890243285,-0.7006445727117724,0.0,50.06783704660677,1.0
36.85_118.85,118.85,36.85,Neither,False,False,-1.4897623218190204,-0.7006445727117724,0.0,44.929006026922345,1.0
36.85_118.95,118.95,36.85,Neither,False,False,-2.260470807008151,-0.7006445727117724,0.0,40.46183161503076,1.0
36.85_119.05,119.05,36.85,Neither,False,False,-0.48933711925064,-0.2403574644858149,0.0,37.56423195758475,1.0
36.85_119.15,119.15,36.85,Neither,False,False,-1.227075793008834,-0.7006445727117724,0.0,34.18686635899686,1.0
36.85_119.25,119.25,36.85,Neither,False,False,2.203842991203722,-0.7006445727117724,0.0,32.146317213073736,1.0
36.85_119.35,119.35,36.85,Neither,False,False,2.081215778597894,0.6470558890134361,0.0,31.171323626943003,1.0
36.85_119.45,119.45,36.85,EDGAR only,True,False,0.9356651541468284,1.4271149943553376,0.0,30.127767926252748,1.0
36.85_119.55,119.55,36.85,EDGAR only,True,False,-0.1552287175337385,1.4618186445393262,0.0,31.60824028042248,1.0
36.85_119.65,119.65,36.85,Neither,False,False,0.7798529581338585,1.1158735791978949,0.0,32.02961426439991,1.0
36.85_119.75,119.75,36.85,Neither,False,False,0.4671899304858409,0.6185248501015489,0.0,32.591105765221,1.0
36.85_119.85,119.85,36.85,Neither,False,False,1.6187630847214167,-0.0754858195836971,0.0,34.32203478227638,1.0
36.85_119.95,119.95,36.85,Neither,False,False,4.109512149529056,0.9572565140384408,0.0,37.13553391277753,1.0
36.95_117.85,117.85,36.95,Neither,False,False,3.0118926862863145,-0.7006445727117724,0.0,105.22566570145716,1.0
36.95_117.95,117.95,36.95,Neither,False,False,0.7227663206091056,0.4583208580984513,0.0,97.07570842951256,1.0
36.95_118.05,118.05,36.95,Neither,False,False,-0.0885734547453011,-0.7006445727117724,0.0,89.05230531385983,1.0
36.95_118.15,118.15,36.95,Neither,False,False,1.598269730662101,-0.7006445727117724,0.0,81.19298286291784,1.0
36.95_118.25,118.25,36.95,Neither,False,False,1.8142512224449296,-0.5394974610697714,0.0,73.54748351050131,1.0
36.95_118.35,118.35,36.95,Neither,False,False,0.419497534570114,-0.7006445727117724,0.0,66.06440918450824,1.0
36.95_118.45,118.45,36.95,Neither,False,False,-0.9855356166112594,-0.7006445727117724,0.0,58.95038134662965,1.0
36.95_118.55,118.55,36.95,Neither,False,False,1.561253955300938,0.5865697357763594,0.0,52.35605247506954,1.0
36.95_118.65,118.65,36.95,Neither,False,False,0.7540387580603671,-0.7006445727117724,0.0,46.50303721775124,1.0
36.95_118.75,118.75,36.95,Neither,False,False,-0.5082855899864427,-0.7006445727117724,0.0,41.16842232769054,1.0
36.95_118.85,118.85,36.95,Neither,False,False,0.0725179509711484,-0.7006445727117724,0.0,35.95903142815459,1.0
36.95_118.95,118.95,36.95,Neither,False,False,-0.0924121137986141,-0.7006445727117724,0.0,30.757532844907235,1.0
36.95_119.05,119.05,36.95,Neither,False,False,-2.044179979230084,-0.0587740505980752,0.0,26.831651675319502,1.0
