gid,lon,lat,total_area_km2,land_area_km2,land_fraction,n_pumpjacks_raw,n_pumpjacks_unique,density_total_area,density_land_area
37.05_119.05,119.05,37.05,98.68107116833085,98.68107116833085,1.0,0,0,0.0,0.0
37.05_119.15,119.15,37.05,98.68107116833085,98.68107116833085,1.0,0,0,0.0,0.0
37.05_119.25,119.25,37.05,98.68107116833085,98.68107116833085,1.0,2,2,0.0202673114136386,0.0202673114136386
37.05_119.35,119.35,37.05,98.68107116833085,98.68107116833085,1.0,6,6,0.0608019342409159,0.0608019342409159
37.05_119.45,119.45,37.05,98.68107116833085,98.68107116833085,1.0,0,0,0.0,0.0
37.05_119.55,119.55,37.05,98.68107116833085,98.68107116833085,1.0,0,0,0.0,0.0
37.05_119.65,119.65,37.05,98.68107116833085,98.68107116833085,1.0,0,0,0.0,0.0
37.05_119.75,119.75,37.05,98.68107116833085,98.68107116833085,1.0,0,0,0.0,0.0
37.05_119.85,119.85,37.05,98.68107116833085,98.68107116833085,1.0,0,0,0.0,0.0
37.05_119.95,119.95,37.05,98.68107116833085,98.68107116833085,1.0,0,0,0.0,0.0
37.15_117.85,117.85,37.15,98.55089979512402,98.55089979512402,1.0,83,83,0.8422043854753984,0.8422043854753984
37.15_117.95,117.95,37.15,98.55089979512402,98.55089979512402,1.0,185,185,1.877202545939141,1.877202545939141
37.15_118.05,118.05,37.15,98.55089979512402,98.55089979512402,1.0,40,40,0.4058816315544089,0.4058816315544089
37.15_118.15,118.15,37.15,98.55089979512402,98.55089979512402,1.0,24,24,0.2435289789326453,0.2435289789326453
37.15_118.25,118.25,37.15,98.55089979512402,98.55089979512402,1.0,0,0,0.0,0.0
37.15_118.35,118.35,37.15,98.55089979512402,98.55089979512402,1.0,218,218,2.2120548919715284,2.2120548919715284
37.15_118.45,118.45,37.15,98.55089979512402,98.55089979512402,1.0,233,227,2.3033782590712706,2.3033782590712706
37.15_118.55,118.55,37.15,98.55089979512402,98.55089979512402,1.0,54,54,0.547940202598452,0.547940202598452
37.15_118.65,118.65,37.15,98.55089979512402,98.55089979512402,1.0,110,109,1.1060274459857642,1.1060274459857642
37.15_118.75,118.75,37.15,98.55089979512402,98.55089979512402,1.0,67,67,0.6798517328536349,0.6798517328536349
37.15_118.85,118.85,37.15,98.55089979512402,98.55089979512402,1.0,0,0,0.0,0.0
37.15_118.95,118.95,37.15,98.55089979512402,98.55089979512402,1.0,0,0,0.0,0.0
37.15_119.05,119.05,37.15,98.55089979512402,98.55089979512402,1.0,0,0,0.0,0.0
37.15_119.15,119.15,37.15,98.55089979512402,80.06506806239486,0.8124235113919905,0,0,0.0,0.0
37.15_119.25,119.25,37.15,98.55089979512402,47.73610422760248,0.4843801966987652,0,0,0.0,0.0
37.15_119.35,119.35,37.15,98.55089979512402,30.074598506093025,0.3051681777499206,0,0,0.0,0.0
37.15_119.45,119.45,37.15,98.55089979512402,26.8311220407486,0.2722564897583625,0,0,0.0,0.0
37.15_119.55,119.55,37.15,98.55089979512402,38.99113427102566,0.395644629852023,0,0,0.0,0.0
37.15_119.65,119.65,37.15,98.55089979512402,38.46503815427423,0.3903063110964853,0,0,0.0,0.0
37.15_119.75,119.75,37.15,98.55089979512402,52.63166606798768,0.5340556623775415,0,0,0.0,0.0
37.15_119.85,119.85,37.15,98.55089979512402,97.13681524991988,0.9856512264409169,0,0,0.0,0.0
37.15_119.95,119.95,37.15,98.55089979512402,98.55089979512402,1.0,0,0,0.0,0.0
37.25_117.85,117.85,37.25,98.42042821880696,98.42042821880696,1.0,96,96,0.9754072577958522,0.9754072577958522
37.25_117.95,117.95,37.25,98.42042821880696,98.42042821880696,1.0,164,163,1.6561602397992077,1.6561602397992077
37.25_118.05,118.05,37.25,98.42042821880696,98.42042821880696,1.0,66,66,0.6705924897346485,0.6705924897346485
37.25_118.15,118.15,37.25,98.42042821880696,98.42042821880696,1.0,197,197,2.0016169769352383,2.0016169769352383
37.25_118.25,118.25,37.25,98.42042821880696,98.42042821880696,1.0,220,220,2.235308299115495,2.235308299115495
37.25_118.35,118.35,37.25,98.42042821880696,98.42042821880696,1.0,50,50,0.5080246134353397,0.5080246134353397
