domain,inventory,start_mt,end_mt,endpoint_change_percent,theil_sen_mt_per_year,theil_sen_ci_low,theil_sen_ci_high,kendall_tau,kendall_p,pearson_r,pearson_p,spearman_rho,spearman_p
extended,EDGAR Fuel Exploitation,3.31338740867048,15.407042402712118,364.9936908190976,0.4127607729155675,0.3256157085716471,0.5270030412496772,0.9666666666666665,1.488987637681438e-20,,,,
extended,ODIAC all fossil CO2,153.67628645094698,400.7095752991068,160.7491269819382,11.556305886350708,8.282369025346064,13.762813139575982,0.7133333333333332,3.2207060749715285e-08,,,,
extended,EDGAR-ODIAC normalized agreement,,,,,,,,,0.825950219971261,3.6855078622783243e-07,0.8723076923076923,1.3292609649418493e-08
core,EDGAR Fuel Exploitation,1.185050521544605,5.0668140246251925,327.56101385627534,0.1326383026128269,0.0935981602115518,0.1680087269349831,0.9199999999999998,1.3817189787340094e-16,,,,
core,ODIAC all fossil CO2,21.261629140208232,60.56379032462793,184.850186809508,1.745571348301095,1.1851488893361553,2.096051765269612,0.6799999999999998,2.032473462097532e-07,,,,
core,EDGAR-ODIAC normalized agreement,,,,,,,,,0.7697225267210934,6.847769752826066e-06,0.8353846153846154,2.0393796888426145e-07
