grouping,group,n_days,mean_ppb,median_ppb,sd_days_ppb,ci_day_low,ci_day_high,ci_month_low,ci_month_high,p_ttest
year,2018,27,-0.3086056540857799,0.2312587845090092,4.051850029383935,-1.8242579270146269,1.1701323903729277,-2.001044545866596,1.2991010711986375,0.6955106479683426
year,2019,75,-0.5173712698390461,-0.6122300275288808,4.283299796549597,-1.483262878770246,0.4191971447982395,-2.153515437275687,1.010827084307669,0.2989405946917349
year,2020,71,-0.0294888181319033,0.322056814379885,5.260514699785031,-1.2619087395957858,1.1812363579008969,-1.3029700328155531,1.1610700626760295,0.9624609227390254
year,2021,86,0.2912650426263027,-0.7164403531738506,6.003660270970952,-0.9354647766496308,1.5803323667434563,-0.3558779578709051,2.33135504927592,0.6539237445639994
year,2022,79,0.9327663086690176,0.4194997221758427,6.550120068760074,-0.4551779215061978,2.3757648880091127,-0.0471131842003799,2.4485914493736844,0.2093815120692296
year,2023,83,4.155190195253955,4.847188955613676,10.501931714249956,1.9056270321459357,6.532750142028508,1.925664098539703,5.276480433135609,0.0005352183061711
year,2024,103,5.146566656867006,3.398566041381423,12.087920815698103,2.974805007352189,7.578383214875055,1.954667222576074,8.50826717026217,3.615831305880697e-05
year,2025,89,4.057775152161914,3.596696283397747,9.54045123606149,2.184728046463047,6.148449777451687,1.875540754861842,8.36882217121891,0.0001258585300455
season,DJF,99,-0.0202663286668402,0.9588407500134206,7.138980974409174,-1.4073239180236845,1.4465340600272854,-0.3525455276257769,1.665218557444658,0.977523416103836
season,JJA,122,3.354628812739796,2.1340181832254475,10.224422757756995,1.7435752280985717,5.268682802076411,1.2166727784844298,5.350496767958089,0.0004253924796788
season,MAM,162,2.1066521148079183,0.7687228389498226,8.986783813599429,0.7398566259792289,3.53798521311074,-0.0027931853620131,4.350627879540024,0.0032923209319968
season,SON,230,2.33518077067728,1.604389538933483,7.769118368075274,1.3324570020465247,3.379775957055201,0.5655097691360411,3.035508413984872,8.390955526649039e-06
period,2018-2022,338,0.1464746392458721,-0.2562083116855717,5.5078464677984895,-0.4538883979037669,0.7392760694478686,-0.3382127576365242,0.9852318275872968,0.6252154439273644
period,2023-2025,275,4.494978692384692,3.903157902677625,10.811582923450944,3.208470763311291,5.78668109603833,2.9084648771851263,6.186218091948727,3.7219840370074434e-11
