gid,lon,lat,priority_class,evidence_type,evidence_count,E_high,P_high,A_high,land_area_km2,density_land_area,adjusted_ch4,index_ch4,coast_distance_km
37.05_117.95,117.95,37.05,Reference,,0,False,False,False,98.68107116833085,0.0810692456545546,-0.4320183526248656,-0.1143503482037531,93.22537026840467
37.05_118.05,118.05,37.05,Reference,,0,False,False,False,98.68107116833085,0.0,-0.9845891866959604,-0.7006445727117724,84.83860899556475
37.05_118.15,118.15,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,2.796425100778196,-0.7006445727117724,76.547873652816
37.05_118.25,118.25,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,5.253262291576232,-0.7006445727117724,68.38809702775173
37.05_118.35,118.35,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,3.027104294064091,-0.7006445727117724,60.41236743607337
37.05_118.45,118.45,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,0.4791839821700696,-0.7006445727117724,52.70430659091664
37.05_118.55,118.55,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,3.009238235603761,0.4499108094816558,45.22769739668027
37.05_118.65,118.65,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,1.8242976015999663,-0.0597212787664966,38.30040275909642
37.05_118.75,118.75,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,1.8327993378236385,0.4838384932573789,32.30579763845349
37.05_118.85,118.85,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,1.6376833524731111,0.4305239338920161,26.99899034550413
37.05_118.95,118.95,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,1.352916727369178,0.4707620982221518,21.96647203855901
37.05_119.05,119.05,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,0.3738119767056191,0.5601002683793942,16.632690362301457
37.05_119.15,119.15,37.05,Priority 2,EA,2,True,False,True,98.68107116833085,0.0,0.9735832960441312,1.4322337970345511,14.35010674011088
37.05_119.25,119.25,37.05,Reference,E,1,True,False,False,98.68107116833085,0.0202673114136386,-0.1054037575789241,1.4021616739789868,10.251482614137666
37.05_119.35,119.35,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0608019342409159,1.19187349379617,-0.5590312429771932,11.185000873842894
37.05_119.45,119.45,37.05,Reference,,0,False,False,False,98.68107116833085,0.0,-0.8238211896127288,-0.7006445727117724,7.89216334569939
37.05_119.55,119.55,37.05,Reference,,0,False,False,False,98.68107116833085,0.0,-1.6422206371973362,-0.7006445727117724,9.803397225031675
37.05_119.65,119.65,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,4.507867191750851,-0.7006445727117724,9.797439171349575
37.05_119.75,119.75,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,4.216709429901981,0.065106990594037,10.606964121298976
37.05_119.85,119.85,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,0.8307579042612049,-0.4310954890382364,13.323003947537602
37.05_119.95,119.95,37.05,Priority 4,A,1,False,False,True,98.68107116833085,0.0,1.081811242735573,-0.7006445727117724,19.456316238624492
37.15_117.85,117.85,37.15,Reference,,0,False,False,False,98.55089979512402,0.8422043854753984,-1.0557142312231584,-0.7006445727117724,99.0970638807672
37.15_117.95,117.95,37.15,Reference,,0,False,False,False,98.55089979512402,1.877202545939141,-3.02094552655146,0.1886920808225292,90.49689298499791
37.15_118.05,118.05,37.15,Reference,,0,False,False,False,98.55089979512402,0.4058816315544089,-1.5048217711381149,-0.7006445727117724,81.93112301739563
37.15_118.15,118.15,37.15,Reference,,0,False,False,False,98.55089979512402,0.2435289789326453,-0.3060652894523448,-0.7006445727117724,73.31232026990264
37.15_118.25,118.25,37.15,Reference,,0,False,False,False,98.55089979512402,0.0,-1.4286604218807102,-0.7006445727117724,64.74605129014803
37.15_118.35,118.35,37.15,Priority 3,P,1,False,True,False,98.55089979512402,2.2120548919715284,-0.3773258672038572,-0.7006445727117724,56.25631948341833
37.15_118.45,118.45,37.15,Priority 1b,PA,2,False,True,True,98.55089979512402,2.3033782590712706,1.0885531175379148,-0.5334548540302002,47.8838519317174
37.15_118.55,118.55,37.15,Priority 4,A,1,False,False,True,98.55089979512402,0.547940202598452,1.1658540558864527,0.775577309010347,39.70290341601087
37.15_118.65,118.65,37.15,Priority 4,A,1,False,False,True,98.55089979512402,1.1060274459857642,1.3147511622343258,0.3518515226565727,31.86134450000016
37.15_118.75,118.75,37.15,Priority 4,A,1,False,False,True,98.55089979512402,0.6798517328536349,1.1902416500312103,-0.7006445727117724,24.41097683604736
37.15_118.85,118.85,37.15,Priority 4,A,1,False,False,True,98.55089979512402,0.0,2.4227734242222114,0.0083939426598285,18.11096268788595
37.15_118.95,118.95,37.15,Reference,,0,False,False,False,98.55089979512402,0.0,-3.4773408577102973,1.3365736258117058,12.894273156960844
37.15_119.05,119.05,37.15,Priority 2,EA,2,True,False,True,98.55089979512402,0.0,0.4664674652938504,1.4522861560228844,8.0748112232788
37.15_119.15,119.15,37.15,Reference,,0,False,False,False,80.06506806239486,0.0,-6.181334326034035,1.1190881197910167,3.2368609044915293
37.15_119.25,119.25,37.15,Reference,,0,False,False,False,47.73610422760248,0.0,-17.175582373175644,-0.7003171888843874,3.5652153511599054
37.15_119.35,119.35,37.15,Reference,,0,False,False,False,30.074598506093025,0.0,-20.447206822397582,-0.7006445727117724,5.7203242268289065
37.15_119.45,119.45,37.15,Reference,,0,False,False,False,26.8311220407486,0.0,-22.289480243608253,-0.7006445727117724,2.8911705712110214
37.15_119.55,119.55,37.15,Reference,,0,False,False,False,38.99113427102566,0.0,-22.64248442803133,-0.7006445727117724,1.499385942821092
37.15_119.65,119.65,37.15,Reference,,0,False,False,False,38.46503815427423,0.0,-11.539824779262888,-0.7006445727117724,1.6735885131338937
37.15_119.75,119.75,37.15,Reference,,0,False,False,False,52.63166606798768,0.0,-1.5400828058416445,-0.7006445727117724,1.8271699248350213
37.15_119.85,119.85,37.15,Priority 4,A,1,False,False,True,97.13681524991988,0.0,3.310203599693729,-0.0212674813320164,6.152801985096979
37.15_119.95,119.95,37.15,Reference,,0,False,False,False,98.55089979512402,0.0,-1.659672142590766,0.0586736448361113,11.312662456278764
37.25_117.85,117.85,37.25,Reference,,0,False,False,False,98.42042821880696,0.9754072577958522,-3.755918375896949,-0.7006445727117724,97.37939278547772
