gid,lat,lon,n_pumpjacks,grid_area_km2,pumpjack_density_km2,distance_to_nearest_pumpjack_km,distance_to_nearest_high_density_cluster_km,pumpjack_class
37.05_119.95,37.05,119.95,0,98.11564122599933,0.0,56.72868364484471,108.08396516036407,No-well
37.15_117.85,37.15,117.85,83,98.11564122599933,0.8459405550723357,2.9606240986448498,8.813837695473804,Q4
37.15_117.95,37.15,117.95,185,98.11564122599933,1.8855301528720736,0.2677064178164081,0.0,Q4
37.15_118.05,37.15,118.05,40,98.11564122599933,0.4076821952155834,2.3385990950801703,8.813837695471943,Q4
37.15_118.15,37.15,118.15,24,98.11564122599933,0.24460931712935,3.0349417904931104,11.132,Q4
37.15_118.25,37.15,118.25,0,98.11564122599933,0.0,5.237628608488391,8.813837695471943,No-well
37.15_118.35,37.15,118.35,218,98.11564122599933,2.2218679639249297,0.9423694462929404,0.0,Q4
37.15_118.45,37.15,118.45,233,98.11564122599933,2.3747487871307738,0.0984240680041653,0.0,Q4
37.15_118.55,37.15,118.55,54,98.11564122599933,0.5503709635410376,1.8752163665891413,8.813837695471943,Q4
37.15_118.65,37.15,118.65,110,98.11564122599933,1.1211260368428546,2.092499763439444,11.132,Q4
37.15_118.75,37.15,118.75,67,98.11564122599933,0.6828676769861023,3.4348369784058086,11.132,Q4
37.15_118.85,37.15,118.85,0,98.11564122599933,0.0,7.167635492335241,14.19877314848442,No-well
37.15_118.95,37.15,118.95,0,98.11564122599933,0.0,14.703432711525158,20.848413936999822,No-well
37.15_119.05,37.15,119.05,0,98.11564122599933,0.0,21.099727347901137,28.68928438109078,No-well
37.15_119.15,37.15,119.15,0,98.11564122599933,0.0,19.68735418774351,36.97108576650253,No-well
37.15_119.25,37.15,119.25,0,98.11564122599933,0.0,15.724956893641153,45.45343548130568,No-well
37.15_119.35,37.15,119.35,0,98.11564122599933,0.0,16.029193892007708,54.04198258018107,No-well
37.15_119.45,37.15,119.45,0,98.11564122599933,0.0,20.19193833432728,62.6930971892795,No-well
37.15_119.55,37.15,119.55,0,98.11564122599933,0.0,26.63080679175919,71.38403504297263,No-well
37.15_119.65,37.15,119.65,0,98.11564122599933,0.0,34.083193736375016,80.10183488967517,No-well
37.15_119.75,37.15,119.75,0,98.11564122599933,0.0,42.06537519155992,88.83858911651626,No-well
37.15_119.85,37.15,119.85,0,98.11564122599933,0.0,50.325887519112655,97.58920713674163,No-well
37.15_119.95,37.15,119.95,0,98.11564122599933,0.0,58.74743899958788,106.3502668204776,No-well
37.25_117.85,37.25,117.85,96,98.11564122599933,0.9784372685174004,4.409837313415959,8.813837695473804,Q4
37.25_117.95,37.25,117.95,164,98.11564122599933,1.6714970003838925,0.3667633349489155,0.0,Q4
37.25_118.05,37.25,118.05,66,98.11564122599933,0.6726756221057127,0.774530456373801,8.813837695471943,Q4
37.25_118.15,37.25,118.15,197,98.11564122599933,2.0078348114367484,0.2043762322243091,0.0,Q4
37.25_118.25,37.25,118.25,220,98.11564122599933,2.242252073685709,0.0514639000770882,0.0,Q4
37.25_118.35,37.25,118.35,50,98.11564122599933,0.5096027440194794,0.2244063593718285,8.813837695471943,Q4
37.25_118.45,37.25,118.45,13,98.11564122599933,0.1324967134450646,0.8568867207523165,11.132,Q4
37.25_118.55,37.25,118.55,40,98.11564122599933,0.4076821952155834,3.172163706243758,8.813837695473804,Q4
37.25_118.65,37.25,118.65,156,98.11564122599933,1.5899605613407757,1.4672306235484422,0.0,Q4
37.25_118.75,37.25,118.75,510,98.11564122599933,5.197947988998689,0.2080838799363019,0.0,Q4
37.25_118.85,37.25,118.85,0,98.11564122599933,0.0,6.42253971905844,8.813837695471943,No-well
37.25_118.95,37.25,118.95,0,98.11564122599933,0.0,8.02113819087874,17.627675390943885,No-well
37.25_119.05,37.25,119.05,0,98.11564122599933,0.0,11.94413043866652,26.441513086415828,No-well
37.25_119.15,37.25,119.15,0,98.11564122599933,0.0,19.399198306931307,35.25535078188963,No-well
37.25_119.25,37.25,119.25,0,98.11564122599933,0.0,26.687855210912243,44.06918847736158,No-well
37.25_119.35,37.25,119.35,0,98.11564122599933,0.0,26.93663552502141,52.88302617283352,No-well
37.25_119.45,37.25,119.45,0,98.11564122599933,0.0,29.60340605872141,61.696863868307325,No-well
37.25_119.55,37.25,119.55,0,98.11564122599933,0.0,34.387620403154834,70.51070156377926,No-well
37.25_119.65,37.25,119.65,0,98.11564122599933,0.0,40.52931018663772,79.32453925925307,No-well
37.25_119.75,37.25,119.75,0,98.11564122599933,0.0,47.43897847698796,88.13837695472502,No-well
37.25_119.85,37.25,119.85,0,98.11564122599933,0.0,54.89677443638927,96.95221465019696,No-well
37.25_119.95,37.25,119.95,0,98.11564122599933,0.0,62.707435587366525,103.69934326066284,No-well
