priority_class,cluster_id,n_grids,area_km2,centroid_lon,centroid_lat,mean_pumpjack_density_land,mean_adjusted_CH4,mean_EDGAR_activity,distance_to_coast_km
Priority 1a,Priority1a_1,1,98.15858604741604,118.45,37.45,2.0171439705168024,3.620076203121225,1.4983850993235484,44.320734055750485
Priority 1b,Priority1b_1,7,530.818446383845,118.77857142857144,38.00714285714286,5.655664799579497,4.922880210260104,-0.3174235702108024,9.877779707718352
Priority 1b,Priority1b_4,2,196.3171720948321,118.1,37.45,4.457073167177278,1.8360229431444588,0.2576738832426367,73.61069777017968
Priority 1b,Priority1b_2,1,98.15858604741604,118.35,37.45,2.4755857819978937,1.7777065383467825,0.0851415878986775,53.01362320059504
Priority 1b,Priority1b_3,1,98.55089979512402,118.45,37.15,2.3033782590712706,1.0885531175379148,-0.5334548540302002,47.8838519317174
Priority 1b,Priority1b_5,1,98.42042821880696,118.75,37.25,5.151369580234345,3.4930900366392543,0.9933148623754238,19.29506847533829
Priority 1b,Priority1b_6,1,98.42042821880696,118.25,37.25,2.235308299115495,0.4289808130660664,-0.7006445727117724,62.392220980911226
Priority 1b,Priority1b_7,1,97.63131681550352,119.05,37.85,16.1321187849624,7.882773096477836,-0.7006445727117724,5.911406005673065
Priority 2,Priority2_3,3,292.76138862760905,117.88333333333333,37.88333333333333,0.4407063297930335,1.5887193689668977,1.4972375212323503,33.52532467424279
Priority 2,Priority2_4,3,296.5623956038793,119.41666666666669,36.91666666666667,0.0,0.989486096479514,1.4458958361452618,23.248575059651618
Priority 2,Priority2_6,3,294.47545913416843,118.55,37.45,1.042565147272229,2.7132637588849136,1.5341866000970612,35.549806881886525
Priority 2,Priority2_1,2,195.6591290771221,118.2,37.7,0.8120969408478765,1.9352755807822224,1.404725366258433,48.45229345191336
Priority 2,Priority2_2,2,197.23197096345484,119.1,37.1,0.0,0.7200253806689908,1.4422599765287178,11.21245898169484
Priority 2,Priority2_5,1,0.0,119.05,38.35,,-0.0736647407308826,3.897748951088682,28.56180822118804
Priority 2,Priority2_7,1,97.63131681550352,118.65,37.85,1.6285758011485854,3.6858348267203977,1.78557146874105,26.010843825775115
Priority 2,Priority2_8,1,0.0,119.45,37.95,,0.1013012166573127,3.613092717580488,26.975989952919164
Priority 2,Priority2_9,1,0.0,118.45,38.45,,0.1782441385538963,3.5040360608082293,37.74378958150521
Priority 2,Priority2_10,1,98.42042821880696,118.85,37.25,0.0,2.4776327356578087,1.4641781205472952,11.038991839983758
Priority 2,Priority2_11,1,0.0,119.25,38.25,,1.0159548380689196,4.2644697324029694,31.43370467863149
