replicate,method,mean_dxch4_ppb,n_days,n_high_grids,n_controls,mean_match_distance_km
79,latitude_stratified_random_hotspot,0.9152254081148544,947,38,162,12.937527749549185
80,latitude_stratified_random_hotspot,-0.2066389265762337,890,38,165,12.68776302919308
81,latitude_stratified_random_hotspot,0.1262212977399082,880,38,164,13.586091887998892
82,latitude_stratified_random_hotspot,0.5593947915998541,903,38,164,14.064376860346703
83,latitude_stratified_random_hotspot,0.9316811560864332,911,38,159,12.789396079919827
84,latitude_stratified_random_hotspot,-0.241323562610969,880,38,162,14.294983009760236
85,latitude_stratified_random_hotspot,-0.7764012252723979,855,38,162,13.216879299811986
86,latitude_stratified_random_hotspot,-0.3587307115543274,893,38,164,13.757039837196508
87,latitude_stratified_random_hotspot,0.1391550374070385,903,38,167,13.22865669663508
88,latitude_stratified_random_hotspot,0.0112280183381471,917,38,164,13.6269633999207
89,latitude_stratified_random_hotspot,0.7761259186615532,902,38,163,13.167676638128455
90,latitude_stratified_random_hotspot,0.5662117484750745,934,38,167,14.645909492211658
91,latitude_stratified_random_hotspot,-0.1045493769223046,941,38,163,13.993431041058203
92,latitude_stratified_random_hotspot,0.7069806064810478,918,38,163,13.2046153760993
93,latitude_stratified_random_hotspot,-0.1141909056279602,917,38,162,13.591300417035765
94,latitude_stratified_random_hotspot,-0.0078700558339842,956,38,166,14.418771813294669
95,latitude_stratified_random_hotspot,0.1311200166039214,929,38,168,13.28542411363784
96,latitude_stratified_random_hotspot,0.24452573490736,908,38,166,14.638021436199155
97,latitude_stratified_random_hotspot,1.4365078822193156,868,38,168,13.438890938789024
98,latitude_stratified_random_hotspot,-0.2311920995848579,888,38,169,12.86474295493774
99,latitude_stratified_random_hotspot,0.6479846165375832,918,38,167,14.492496625490531
100,latitude_stratified_random_hotspot,-0.1600670419072231,867,38,163,14.198297722973294
101,latitude_stratified_random_hotspot,-0.2833259505111224,873,38,163,13.915090709263168
102,latitude_stratified_random_hotspot,-0.2839961184021232,890,38,167,12.975542946352451
103,latitude_stratified_random_hotspot,-0.5132229252610988,856,38,168,14.922052407802862
104,latitude_stratified_random_hotspot,-0.7874162934943981,960,38,167,13.88020830996328
105,latitude_stratified_random_hotspot,1.1611579124569569,805,38,168,15.078835799974089
106,latitude_stratified_random_hotspot,0.6947732866753287,963,38,167,13.989779040286152
107,latitude_stratified_random_hotspot,-1.2604708472393198,811,38,168,14.569622808722189
108,latitude_stratified_random_hotspot,0.6179633817907156,937,38,161,12.660286229931978
109,latitude_stratified_random_hotspot,0.5837767241677949,935,38,164,13.686168669132051
110,latitude_stratified_random_hotspot,0.0127980495082545,874,38,161,12.393654979030224
111,latitude_stratified_random_hotspot,0.3381191129647835,737,38,162,12.669848892871222
112,latitude_stratified_random_hotspot,0.7536231643468941,931,38,167,13.92610396314707
113,latitude_stratified_random_hotspot,-0.625644336963604,890,38,167,14.421509504504144
114,latitude_stratified_random_hotspot,-0.233795916233238,936,38,167,15.498867932131562
115,latitude_stratified_random_hotspot,0.8173847727947613,983,38,167,15.520421769794105
116,latitude_stratified_random_hotspot,0.7892588591750715,932,38,160,13.157646596496406
117,latitude_stratified_random_hotspot,0.680751708345414,867,38,164,13.153586084949506
118,latitude_stratified_random_hotspot,0.4873768665555961,952,38,170,13.883304482098506
119,latitude_stratified_random_hotspot,-0.4615277269894982,912,38,163,13.277241861630277
120,latitude_stratified_random_hotspot,-0.1869619493948197,935,38,167,13.232256915792652
121,latitude_stratified_random_hotspot,0.8956376805769539,964,38,164,14.043179921515812
122,latitude_stratified_random_hotspot,1.0384898442293562,944,38,163,14.81608235212297
123,latitude_stratified_random_hotspot,-0.1931305378841064,869,38,164,12.26182058734684
124,latitude_stratified_random_hotspot,0.0356655679044472,937,38,167,14.340118631327156
125,latitude_stratified_random_hotspot,0.240876397127711,915,38,165,13.621698391291767
126,latitude_stratified_random_hotspot,-0.5750442479658716,915,38,167,13.196142625432188
127,latitude_stratified_random_hotspot,-0.1711906635827087,916,38,163,13.130242401492136
128,latitude_stratified_random_hotspot,0.3394219855855543,916,38,164,14.151431922527928
129,latitude_stratified_random_hotspot,0.4829036496492965,877,38,164,14.874825545319428
130,latitude_stratified_random_hotspot,0.4544123612763409,907,38,162,13.650334230555734
131,latitude_stratified_random_hotspot,0.8578589759057943,912,38,165,13.419900385466024
132,latitude_stratified_random_hotspot,0.2079927302265592,936,38,163,12.860177697263016
133,latitude_stratified_random_hotspot,0.1085582417094858,865,38,165,14.208264741594656
134,latitude_stratified_random_hotspot,0.2943526131218165,954,38,165,13.509088892744812
135,latitude_stratified_random_hotspot,-0.5999089020706754,867,38,165,14.877729018843546
136,latitude_stratified_random_hotspot,1.5654561840157692,916,38,165,14.462441496098275
137,latitude_stratified_random_hotspot,0.9959787092206742,904,38,166,14.60489431231546
138,latitude_stratified_random_hotspot,2.417817739469021,838,38,164,14.20477706087942
139,latitude_stratified_random_hotspot,-0.0912892734240612,878,38,165,13.552443740125538
140,latitude_stratified_random_hotspot,-0.3759060267850604,921,38,167,14.34815970915042
141,latitude_stratified_random_hotspot,-1.353707021931678,873,38,164,12.885302819795957
142,latitude_stratified_random_hotspot,-0.0702560657670485,894,38,163,13.94822855308276
143,latitude_stratified_random_hotspot,-0.7593012285081275,859,38,166,12.484211959743188
