grouping,period,n_days,mean_delta_xch4,median_ppb,sd_days_ppb,ci_day_low,ci_day_high,CI_low,CI_high,p_ttest,support,n_high_grids,mean_match_distance_km,threshold_days,n_grids,definition
period,2018-2022,338,0.1464746392458721,-0.2562083116855717,5.5078464677984895,-0.4538883979037669,0.7392760694478686,-0.3382127576365242,0.9852318275872968,0.6252154439273644,Unrestricted,,,,,
period,2023-2025,275,4.494978692384692,3.903157902677625,10.811582923450944,3.208470763311291,5.78668109603833,2.9084648771851263,6.186218091948727,3.7219840370074434e-11,Unrestricted,,,,,
,2018-2022,439,0.7895085044796251,,,,,0.3549108682635531,1.2814305541393836,,Common support ≥5 days,22.0,19.93906989909808,5.0,197.0,EDGAR P90
,2023-2025,282,0.4054649526777872,,,,,-0.5926344680718378,1.8343783856024551,,Common support ≥5 days,22.0,19.93906989909808,5.0,197.0,EDGAR P90
,2018-2022,424,1.2466547379344828,,,,,0.9385315065731928,2.110443525562129,,Common support ≥10 days,17.0,22.536704988246548,10.0,145.0,EDGAR P90
,2023-2025,278,0.3845893760349789,,,,,-0.0987019904711785,1.7749930736268955,,Common support ≥10 days,17.0,22.536704988246548,10.0,145.0,EDGAR P90
